library	file	raw_file	sample	source_name	compartment	age	strain	timepoint	group	multiplex
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_22_26w_nonSPF_5days_distal	11B5_22	distal	26w	nonSPF	5days	26w_nonSPF_5days_distal	HTO2
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_23_26w_nonSPF_5days_proximal	11B5_23	proximal	26w	nonSPF	5days	26w_nonSPF_5days_proximal	HTO3
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_23_26w_nonSPF_5days_distal	11B5_23	distal	26w	nonSPF	5days	26w_nonSPF_5days_distal	HTO4
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_24_26w_nonSPF_5days_proximal	11B5_24	proximal	26w	nonSPF	5days	26w_nonSPF_5days_proximal	HTO5
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_24_26w_nonSPF_5days_distal	11B5_24	distal	26w	nonSPF	5days	26w_nonSPF_5days_distal	HTO6
P1741_09_11C2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_25_26w_SPF_2days_fx	11C2_25	fx	26w	SPF	2days	26w_SPF_2days_fx	HTO1
P1741_09_11C2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_26_26w_SPF_2days_fx	11C2_26	fx	26w	SPF	2days	26w_SPF_2days_fx	HTO2
P1741_09_11C2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_09_11C2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_30_26w_SPF_2days_fx	11C2_30	fx	26w	SPF	2days	26w_SPF_2days_fx	HTO3
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_25_26w_SPF_2days_proximal	11C2_25	proximal	26w	SPF	2days	26w_SPF_2days_proximal	HTO1
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_25_26w_SPF_2days_distal	11C2_25	distal	26w	SPF	2days	26w_SPF_2days_distal	HTO2
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_26_26w_SPF_2days_proximal	11C2_26	proximal	26w	SPF	2days	26w_SPF_2days_proximal	HTO3
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_26_26w_SPF_2days_distal	11C2_26	distal	26w	SPF	2days	26w_SPF_2days_distal	HTO4
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_30_26w_SPF_2days_proximal	11C2_30	proximal	26w	SPF	2days	26w_SPF_2days_proximal	HTO5
P1741_10_11C2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_10_11C2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C2_30_26w_SPF_2days_distal	11C2_30	distal	26w	SPF	2days	26w_SPF_2days_distal	HTO6
P1741_11_11C5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_31_26w_SPF_5days_fx	11C5_31	fx	26w	SPF	5days	26w_SPF_5days_fx	HTO4
P1741_11_11C5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_34_26w_SPF_5days_fx	11C5_34	fx	26w	SPF	5days	26w_SPF_5days_fx	HTO5
P1741_11_11C5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_11_11C5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_36_26w_SPF_5days_fx	11C5_36	fx	26w	SPF	5days	26w_SPF_5days_fx	HTO6
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_31_26w_SPF_5days_proximal	11C5_31	proximal	26w	SPF	5days	26w_SPF_5days_proximal	HTO1
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_31_26w_SPF_5days_distal	11C5_31	distal	26w	SPF	5days	26w_SPF_5days_distal	HTO2
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_34_26w_SPF_5days_proximal	11C5_34	proximal	26w	SPF	5days	26w_SPF_5days_proximal	HTO3
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_34_26w_SPF_5days_distal	11C5_34	distal	26w	SPF	5days	26w_SPF_5days_distal	HTO4
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_36_26w_SPF_5days_proximal	11C5_36	proximal	26w	SPF	5days	26w_SPF_5days_proximal	HTO5
P1741_12_11C5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_12_11C5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11C5_36_26w_SPF_5days_distal	11C5_36	distal	26w	SPF	5days	26w_SPF_5days_distal	HTO6
