"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.1184515474273e-70,0.751039104711764,1,0.958,7.1265973213356e-66,"15","Rps28"
3.4867099072071e-70,1.10461409498852,0.725,0.447,7.96817815094038e-66,"15","Dnajc15"
4.85136721432681e-70,0.867388920344607,0.793,0.463,1.10868294949011e-65,"15","Tut4"
1.36536099250357e-69,0.627673303884333,0.35,0.084,3.1202594761684e-65,"15","Gm8369"
2.13941205980014e-69,0.597157501294658,0.319,0.072,4.88919838026127e-65,"15","Cers4"
1.5050903855745e-68,0.897486358809365,0.569,0.234,3.43958305815341e-64,"15","Ifi47"
5.56817989746652e-68,0.526032040319405,0.339,0.08,1.27249615196802e-63,"15","Grap"
2.57322579800782e-67,0.91317383089542,0.846,0.557,5.88059291618727e-63,"15","Apobec3"
6.11981794709591e-67,0.669174140636398,1,0.962,1.39856199544983e-62,"15","Rps3a1"
1.02452150315877e-66,0.87946437561893,0.969,0.809,2.34133899116873e-62,"15","mt-Nd5"
1.18793773438053e-66,0.969328991593804,0.829,0.641,2.71479410437982e-62,"15","Rapgef6"
2.90788499029062e-66,0.849757849711633,0.585,0.251,6.64538956831116e-62,"15","AU020206"
3.59746296437143e-66,0.92401138287874,0.908,0.694,8.22128211247803e-62,"15","Eef1g"
2.96382360782495e-65,0.689676799723171,0.997,0.92,6.77322609096236e-61,"15","Rps6"
3.01178765209964e-65,0.543951566583505,0.272,0.057,6.88283832134332e-61,"15","Pogk"
5.19252778405663e-65,0.581960941507708,1,0.999,1.18664837449046e-60,"15","Gm42418"
1.49595332637783e-64,0.878905869106533,0.994,0.866,3.41870213677124e-60,"15","mt-Nd1"
3.11512433622528e-64,0.590414796842139,0.331,0.083,7.11899364557563e-60,"15","Lpin1"
4.34885771955606e-64,0.715173104425922,0.994,0.905,9.93844454650147e-60,"15","Rack1"
7.14125125585268e-64,0.729433320533982,0.485,0.177,1.63199014950001e-59,"15","Smad7"
6.52060073874368e-63,0.61855514707333,0.448,0.142,1.49015288682509e-58,"15","Cd69"
1.14346721404132e-62,0.938408665449295,0.577,0.273,2.61316562424862e-58,"15","Aak1"
1.44447306154888e-62,0.463774543938938,0.286,0.062,3.30105428755766e-58,"15","Ifi213"
2.78083191435021e-62,0.472164904113577,0.252,0.049,6.35503517386453e-58,"15","Rgs1"
3.39129895026795e-62,0.885975596909222,0.647,0.348,7.75013549104734e-58,"15","Saraf"
8.07239417334815e-62,0.791786159315656,0.546,0.229,1.84478424043525e-57,"15","Ly9"
2.44961313660413e-61,0.756472667977927,0.98,0.873,5.59810090108142e-57,"15","Eef1b2"
6.44739578362426e-61,0.738549658028792,0.871,0.64,1.47342335843165e-56,"15","Stk17b"
9.08534348169928e-61,0.75751005988377,0.958,0.814,2.07627354587274e-56,"15","Prrc2c"
1.69173617527861e-60,0.999541368657638,0.801,0.563,3.86612468136422e-56,"15","Gm26917"
2.31827334341345e-60,0.66935636509197,0.653,0.278,5.29795007170276e-56,"15","Zfp36l1"
2.48012795957137e-60,0.706514248129062,1,0.949,5.66783642600846e-56,"15","Rps20"
2.5083358836673e-60,0.764193675484642,0.947,0.812,5.73229999494487e-56,"15","Ncl"
3.28578137362591e-60,0.652853590502268,1,0.942,7.5089961731473e-56,"15","Rpl11"
3.42371116113843e-60,0.701224601298149,1,0.951,7.82420711654965e-56,"15","Rps11"
3.91380030019351e-60,0.897696024356899,0.896,0.654,8.94420782603223e-56,"15","Ifngr1"
4.23495949187214e-60,0.767782184851873,1,0.899,9.6781529267754e-56,"15","Tmsb10"
5.61029749604874e-60,0.719661699630074,0.983,0.864,1.28212128677202e-55,"15","Rpl4"
8.61985375681378e-60,0.843254062722375,0.952,0.492,1.96989517904465e-55,"15","Ahnak"
1.71748512664214e-59,0.390530037613129,0.294,0.067,3.92496875991528e-55,"15","Zfpm1"
5.38511852725652e-59,0.653528022458652,1,0.979,1.23066113703393e-54,"15","Rps12"
5.98300393254384e-59,0.626861201796274,1,0.989,1.36729588870424e-54,"15","Malat1"
2.72684324193386e-58,0.860507891096374,0.734,0.479,6.23165486079145e-54,"15","B4galnt1"
2.7364423246824e-58,0.487455789589406,0.286,0.067,6.2535916445967e-54,"15","Zbtb4"
8.4022759892317e-58,0.731955536351318,0.947,0.865,1.92017213181912e-53,"15","Srrm2"
1.12512088936899e-57,0.815303928755801,0.555,0.254,2.57123876847496e-53,"15","Pitpnc1"
1.14733958281363e-57,0.77982629097085,0.846,0.487,2.622015148604e-53,"15","Mndal"
2.26352861733482e-57,0.749016514586295,0.843,0.606,5.17284194919526e-53,"15","Itgal"
4.05808892115136e-57,0.757944791769988,0.899,0.767,9.2739506115072e-53,"15","Dock2"
4.46681675124102e-57,0.865935527999058,0.852,0.634,1.02080163216111e-52,"15","Itgb1"
5.15288654723402e-57,0.473154485368982,0.258,0.057,1.17758916263939e-52,"15","Zfhx2"
5.8650409827332e-57,0.913311961676191,0.653,0.346,1.34033781578402e-52,"15","Il18rap"
6.3900402432032e-57,0.785010783449265,0.552,0.246,1.46031589677923e-52,"15","H2-Q4"
2.21056108930669e-56,0.64067418788319,0.994,0.935,5.05179525739259e-52,"15","Rps4x"
2.15598116587658e-55,0.441681219300919,0.291,0.072,4.92706375837775e-51,"15","Cbx7"
3.98229956733163e-55,0.891652392592137,0.728,0.485,9.10074920122298e-51,"15","Znrf2"
6.11280069664347e-55,0.67043594900046,0.955,0.818,1.39695834320393e-50,"15","Btg1"
6.7523606141399e-55,0.795658563429906,0.543,0.242,1.54311697114939e-50,"15","Ttc3"
2.14442853543117e-54,0.650911572279761,0.997,0.938,4.90066253202085e-50,"15","Rps19"
3.46234162330787e-54,0.806727159733941,0.655,0.375,7.91248931174547e-50,"15","Prrc2b"
3.77742334571755e-54,0.380222174669593,0.266,0.061,8.63254557196831e-50,"15","Jakmip1"
7.01225894053669e-54,0.767111510953993,0.863,0.64,1.60251153568085e-49,"15","Dock10"
7.26059626656203e-54,0.684870108958983,1,0.93,1.65926406479742e-49,"15","mt-Cytb"
1.14997147312977e-52,0.802267795140862,0.818,0.603,2.62802980754347e-48,"15","Kmt2a"
1.95506677808563e-52,0.826274075226758,0.468,0.196,4.46791410795909e-48,"15","Zfp512"
2.25443302727901e-52,0.893017784604939,0.902,0.713,5.15205579724071e-48,"15","mt-Nd4l"
2.79716767718607e-52,0.711939330934227,0.779,0.469,6.39236729267332e-48,"15","Selenow"
1.11910500866704e-50,0.743214571127812,0.93,0.768,2.55749067630678e-46,"15","Rpl22l1"
1.8192322000582e-50,0.820005234480844,0.79,0.592,4.15749134679301e-46,"15","Atp1b3"
1.84932554143064e-50,0.79845052344705,0.77,0.568,4.22626365983145e-46,"15","Cnot6l"
3.48494280529495e-50,0.924686482587775,0.725,0.515,7.96413979294055e-46,"15","Trim12a"
3.59427156229939e-50,0.850890125988817,0.731,0.473,8.2139888013228e-46,"15","Ddx21"
5.92460008167571e-50,0.762411286880453,0.952,0.839,1.35394885666535e-45,"15","Xist"
1.58875429402646e-49,0.829270902451292,0.644,0.403,3.63078018813866e-45,"15","Efr3a"
1.75815786933699e-49,0.707656657552458,0.975,0.904,4.01791817879583e-45,"15","Lars2"
2.59283633105669e-49,0.523260003304059,0.367,0.123,5.92540886736385e-45,"15","Fam78a"
2.68336279228901e-49,0.927933941412572,0.683,0.457,6.13228898921808e-45,"15","Dennd4a"
3.09474043523777e-48,0.542569261777764,0.58,0.282,7.07241031664888e-44,"15","Rhoh"
3.18565730369271e-48,0.541185745545877,1,0.983,7.28018263612895e-44,"15","mt-Co1"
3.2591784188859e-48,0.871930185576126,0.599,0.323,7.44820044067994e-44,"15","Ipcef1"
3.32179087943194e-48,0.410869253369119,0.317,0.088,7.59128869676581e-44,"15","Prkca"
4.04298916038917e-48,0.874939658999241,0.681,0.452,9.23944312823738e-44,"15","Peli1"
6.19693603654748e-48,0.639694159405609,0.443,0.172,1.4161857924322e-43,"15","Tulp4"
7.28518170342243e-48,0.765014684440628,0.751,0.594,1.66488257468313e-43,"15","Leprotl1"
9.2334278763201e-48,0.535426999490269,0.381,0.122,2.11011527257543e-43,"15","Slamf6"
1.1490276251837e-47,0.45744694452328,0.305,0.088,2.62587283183232e-43,"15","Rhof"
1.48687196054355e-47,0.757340124854252,0.527,0.264,3.39794849143017e-43,"15","Rnf138"
3.37034850459189e-47,0.720120359223036,0.622,0.366,7.70225743754384e-43,"15","Tes"
6.8530733841138e-47,0.749890361618224,0.639,0.376,1.56613286047153e-42,"15","Tcf12"
8.34242553103084e-47,0.572303347976061,1,0.941,1.90649450660648e-42,"15","Rpl26"
9.25667511804494e-47,0.709566705311219,0.944,0.81,2.11542796472681e-42,"15","Uba52"
1.20580823791505e-46,0.612437256733384,0.95,0.813,2.75563356610727e-42,"15","Npm1"
1.53982273662513e-46,0.501941410648653,0.303,0.091,3.5189569000094e-42,"15","Abhd8"
7.13195547312625e-46,0.704953827808498,0.854,0.727,1.62986578427354e-41,"15","Arhgap15"
1.20046336800606e-45,0.666950998054534,0.457,0.193,2.74341893490425e-41,"15","Spata13"
1.21723482973631e-45,0.685885192011977,0.891,0.717,2.78174675639638e-41,"15","Selplg"
1.71455086431993e-45,0.666126987522678,0.289,0.08,3.91826309023033e-41,"15","Inpp4b"
2.00709263122573e-45,0.424621931545908,0.325,0.097,4.58680879014017e-41,"15","Dusp2"
4.91776014441917e-45,0.520232129571456,0.986,0.929,1.12385572580411e-40,"15","Pabpc1"
5.09580925614396e-45,0.796710316641013,0.782,0.586,1.16454528930658e-40,"15","Fubp1"
6.00070543241374e-45,0.504839430920952,1,0.974,1.37134121246951e-40,"15","Rpl35a"
7.50362545019168e-45,0.623026042022848,0.854,0.76,1.71480352413231e-40,"15","Arhgef1"
2.16132582359793e-44,0.730534769715176,0.801,0.668,4.93927790466834e-40,"15","Ankrd44"
2.75340140853458e-44,0.706724793515549,0.692,0.437,6.29234823892408e-40,"15","Lbh"
3.35363306728993e-44,0.645924275685136,0.885,0.774,7.66405764867767e-40,"15","Limd2"
7.64614687706155e-44,0.787082896818963,0.728,0.529,1.74737394581488e-39,"15","Pik3r1"
1.1778435483558e-43,0.611409000264977,0.345,0.119,2.69172586105751e-39,"15","Zfp945"
2.30664282461282e-43,0.528860252308363,1,0.973,5.27137084708768e-39,"15","Rps8"
2.61662130660122e-43,0.408579444966572,0.269,0.073,5.97976467197577e-39,"15","Gbp9"
2.77139742822379e-43,0.59646696214049,0.975,0.866,6.33347454271983e-39,"15","Eef2"
3.5606957914886e-43,0.578523437037367,0.807,0.558,8.1372580922889e-39,"15","Jund"
7.98713957740402e-43,0.724757110255611,0.877,0.79,1.82530100762414e-38,"15","Ankrd11"
8.78249197989026e-43,0.47738156552483,0.308,0.1,2.00706289216432e-38,"15","Smad3"
1.69984625479603e-42,0.591801917171915,0.412,0.164,3.88465864608537e-38,"15","Dyrk2"
1.93329118931036e-42,0.440881463955579,0.342,0.117,4.41815035493096e-38,"15","Pld3"
5.42795331069178e-42,0.72621792221508,0.854,0.76,1.24045017009239e-37,"15","Ppp1r12a"
1.21655051358219e-41,0.352164761898568,0.283,0.079,2.78018288868938e-37,"15","Card11"
1.25822955928349e-41,0.50481823716505,0.317,0.105,2.87543201183057e-37,"15","Herc3"
2.41749433408431e-41,0.709555811298029,0.49,0.246,5.52469980168287e-37,"15","Chsy1"
4.71111632485853e-41,0.803757261166376,0.689,0.473,1.07663141371992e-36,"15","Prex1"
5.07072060541336e-41,0.632976326299599,0.504,0.239,1.15881177995511e-36,"15","Mylip"
5.54393518081224e-41,0.624714439802987,0.454,0.208,1.26695550687102e-36,"15","Rgs3"
6.56338495041244e-41,0.718400278376679,0.801,0.647,1.49993036271775e-36,"15","Wipf1"
7.49150873529568e-41,0.552894239066523,0.924,0.548,1.71203449127712e-36,"15","S100a10"
7.84208384065516e-41,0.69992208430736,0.801,0.625,1.79215142010492e-36,"15","Eif4a2"
1.10987562686678e-40,0.585768561552042,0.992,0.88,2.53639877007866e-36,"15","Rpl10a"
1.17820695839237e-40,0.707802041457121,0.504,0.256,2.69255636201409e-36,"15","Arhgef3"
2.2383024778196e-40,0.445361352804718,0.275,0.082,5.11519265256114e-36,"15","Gpr18"
